name,count
About_Me__c,107
Academic_History_Section_HS__c,109
Academic_History_Section_PS__c,109
Academic_Program_Term__c,47
AC_Course_Registration_Notes__c,86
AC_has_approved_courses__c,86
AC_Notes__c,88
Activities__c,109
ACT_Taken_Planned__c,109
ACT_Test_Date__c,35
AC_will_call__c,99
ADC_Trasnsfer_Admit_Decision__c,107
Additional_Information__c,109
Admit_City__c,107
Admit_Country__c,107
Admit_GPA__c,81
Admit_Province_State__c,107
Admit_Street_Line_1__c,107
Admit_Street_Line_2__c,107
Admit_Street_Line_3__c,107
Admitted_Program__c,94
Admitted_Program_HEDA__c,47
Admit_Zip_Postal_Code__c,107
AdmLetter_Conditional_Paragraph__c,109
AdmLetter_Refund_Policy_F__c,70
AdmLetter_Scholarship_Eligible_F__c,70
AgentFilter__c,25
Agent_Name__c,91
Agent_Type__c,91
AP_Classes__c,109
Applicant_Type__c,109
Apply_for_Financial_Aid__c,109
AQ_Candidacy_ID__c,109
AQ_Location_Campus__c,109
AQ_Program_Id__c,109
AQ_Stream_ID__c,60
Area_of_Study__c,109
Attended_College_University__c,109
Basis_of_Admission__c,109
BC_Personal_Education_No__c,109
Calling_AC__c,86
Campus_Account_Link__c,14
Candidate_Decision__c,109
Career_Industry_Current__c,109
Career_Industry_Predominant__c,109
Cnsl_Certify__c,88
Cnsl_Comments__c,109
Cnsl_Court_Noncompliance__c,109
Cnsl_Criminal_Conviction__c,109
Cnsl_Curr_Defendant_Civil__c,109
Cnsl_Current_Prof_Proceeding__c,109
Cnsl_Disciplinary_Action__c,109
Cnsl_Drug_Alcohol_Addiction__c,109
Cnsl_Impairments_Limitations__c,109
Cnsl_Licensing_Issues__c,109
Cnsl_Malpractice__c,109
Cnsl_Material_Concern__c,109
Cnsl_Pending_Charges__c,109
Cnsl_Phys_Ment_Emot_Condtn__c,109
Cnsl_Prof_Regulatory_Action__c,109
Cnsl_Suitability_Competence__c,109
Cnsl_Voluntary_License_Relinquish__c,109
Colleges_Attended__c,109
Comm_Covenant_Questions__c,109
Community_Covenant__c,109
Concentration_1__c,21
Concentration_2__c,21
Condition_of_Admission__c,106
Consult_Attended__c,88
Contact_ID_Placeholder__c,26
Counselling_Psychology_Section__c,109
Counsellor_Rating__c,107
Courses_of_Interest__c,53
CreatedById,109
CreatedDate,109
Criminal_Conviction__c,109
Current_Counsellor__c,107
Current_Region__c,107
Current_Student_Status__c,47
Date_Admit__c,109
Date_Admit_Letter_Produced__c,109
Date_App_Complete__c,109
Date_App_Started__c,109
Date_App_Submitted__c,109
Date_Deposit__c,109
Date_Enrolled__c,109
Date_File_Closed__c,109
Date_Inquiry__c,109
Date_Paid__c,109
Date_Pre_Enrolled__c,109
Date_Study_Permit_Confirmed__c,23
Date_Visa_Letter_Produced__c,73
Demographic_Info_Section__c,109
Denomination__c,71
Deposit_Called__c,86
Desired_Teaching_Level__c,21
DLRS_Deposit_Total__c,79
EDUC_200_Grade__c,21
EDUC_200_Status__c,18
EDUC_203_Grade__c,21
EDUC_203_Status__c,17
EDUC_211_Grade__c,21
EDUC_211_Status__c,17
Education_Experience_Section__c,11
Education_Professional_Program_Section__c,11
Education_Statements_Section__c,11
Education_Third_Year_Section__c,11
Educ_Career_Goals__c,109
EDUC_Characteristics_of_effective_envir__c,18
EDUC_Necessary_dispositions__c,18
EDUC_PYP_Previous_App_Year__c,19
EDUC_PYP_Previously_Applied__c,19
EDUC_Related_Experience_Dates_1__c,20
EDUC_Related_Experience_Dates_2__c,20
EDUC_Related_Experience_Grade_1__c,20
EDUC_Related_Experience_Grade_2__c,20
EDUC_Related_Experience_Hours_1__c,20
EDUC_Related_Experience_Hours_2__c,20
EDUC_Related_Experience_Org_1__c,20
EDUC_Related_Experience_Org_2__c,20
EDUC_Related_Experience_Teacher_1__c,20
EDUC_Related_Experience_Teacher_2__c,20
EDUC_Relevant_Background_Experience__c,18
EDUC_School_District__c,18
EDUC_Special_Support__c,20
EDUC_Special_Support_Explanation__c,20
EDUC_Undergraduate_preparation__c,18
Employment_Section__c,109
ENGL_103_Grade__c,21
ENGL_103_Status__c,17
ENGL_104_Grade__c,21
ENGL_104_Status__c,17
Enrollment_Information_Section__c,109
EnrollmentrxRx__ACT_Date_Test_Taken__c,109
EnrollmentrxRx__ACT_Test_Score__c,74
EnrollmentrxRx__Actual_Start_Date__c,74
EnrollmentrxRx__Additional_Barriers__c,74
