,Week,Stage,Historical_Cumulative,Current_Cumulative,GoalVariance
0,1,Act,0.0,0.0,-1.4294871794871802
1,2,Act,0.0,0.0,-2.8589743589743604
2,3,Act,0.0,0.0,-4.288461538461541
3,4,Act,0.0,0.0,-5.717948717948721
4,5,Act,0.0,0.0,-7.147435897435901
5,6,Act,0.0,0.0,-8.576923076923082
6,7,Act,0.0,0.0,-10.00641025641026
7,8,Act,0.0,0.0,-11.435897435897441
8,9,Act,0.0,0.0,-12.865384615384622
9,10,Act,0.0,0.0,-14.294871794871803
10,11,Act,0.0,0.0,-15.724358974358982
11,12,Act,0.0,0.0,-17.153846153846164
12,13,Act,0.0,0.0,-18.583333333333343
13,14,Act,0.0,0.0,-20.01282051282052
14,15,Act,0.0,0.0,-21.4423076923077
15,16,Act,0.0,0.0,-22.871794871794883
16,17,Act,0.0,0.0,-24.301282051282065
17,18,Act,0.0,0.0,-25.730769230769244
18,19,Act,0.0,0.0,-27.160256410256423
19,20,Act,0.0,0.0,-28.589743589743605
20,21,Act,0.0,0.0,-30.019230769230788
21,22,Act,0.0,0.0,-31.448717948717963
22,23,Act,0.0,0.0,-32.878205128205146
23,24,Act,0.0,0.0,-34.30769230769233
24,25,Act,0.0,0.0,-35.73717948717951
25,26,Act,0.0,0.0,-37.166666666666686
26,27,Act,0.0,0.0,-38.59615384615386
27,28,Act,0.0,0.0,-40.02564102564104
28,29,Act,0.0,0.0,-41.455128205128226
29,30,Act,0.0,0.0,-42.8846153846154
30,31,Act,0.0,0.0,-44.31410256410258
31,32,Act,0.0,0.0,-45.743589743589766
32,33,Act,0.0,1.0,-46.17307692307695
33,34,Act,0.3333333333333333,1.0,-47.935897435897466
34,35,Act,0.3333333333333333,1.0,-49.36538461538464
35,36,Act,0.3333333333333333,1.0,-50.794871794871824
36,37,Act,0.3333333333333333,1.0,-52.224358974359006
37,38,Act,0.3333333333333333,1.0,-53.65384615384618
38,39,Act,0.6666666666666666,1.0,-55.41666666666669
39,40,Act,1.0,1.0,-57.17948717948721
40,41,Act,2.3333333333333335,1.0,-59.94230769230773
41,42,Act,4.0,2.0,-62.038461538461576
42,43,Act,22.666666666666668,2.0,-82.13461538461542
43,44,Act,44.0,4.0,-102.89743589743593
44,45,Act,161.0,4.0,-221.3269230769231
45,46,Act,414.0,239.0,-240.75641025641028
46,47,Act,528.0,488.0,-107.18589743589746
47,48,Act,543.0,559.0,-52.61538461538464
48,49,Act,566.3333333333334,578.0,-58.378205128205195
49,50,Act,595.0,631.0,-35.474358974359006
50,51,Act,614.3333333333334,631.0,-56.23717948717956
51,52,Act,626.6666666666666,631.0,-70.0
52,1,Adm,81.33333333333333,114.0,26.788461538461547
53,2,Adm,88.0,123.0,23.243589743589737
54,3,Adm,92.0,135.0,25.365384615384613
55,4,Adm,99.33333333333333,157.0,34.15384615384616
56,5,Adm,108.33333333333333,170.0,32.27564102564102
57,6,Adm,122.66666666666667,187.0,29.06410256410254
58,7,Adm,136.66666666666666,205.0,27.18589743589743
59,8,Adm,155.33333333333334,226.0,23.641025641025635
60,9,Adm,184.33333333333334,265.0,27.762820512820497
61,10,Adm,220.33333333333334,319.0,39.88461538461536
62,11,Adm,266.3333333333333,352.0,21.006410256410277
63,12,Adm,327.0,397.0,-0.5384615384615472
64,13,Adm,378.6666666666667,453.0,-2.0833333333333712
65,14,Adm,389.6666666666667,454.0,-17.96153846153851
66,15,Adm,411.3333333333333,526.0,26.493589743589723
67,16,Adm,463.3333333333333,596.0,38.61538461538464
68,17,Adm,521.6666666666666,661.0,39.40384615384619
